name,web_pages,country,domains,state-province
University of Pittsburgh Medical Center,https://www.upmc.com/,United States,upmc.edu,Pennsylvania
The University of Texas at Rio Grande Valley,https://www.utrgv.edu/,United States,utrgv.edu,Texas
Utah Valley University,https://uvu.edu/,United States,uvu.edu,Utah
Florida Polytechnic University,https://floridapoly.edu/,United States,floridapoly.edu,Florida
College of Southern Nevada,https://www.csn.edu/,United States,csn.edu,NV
Bloomsburg University of Pennsylvania,http://www.bloomu.edu/,United States,bloomu.edu,Pennsylvania
California University of Pennsylvania,http://www.cup.edu/,United States,cup.edu,Pennsylvania
Clarion University of Pennsylvania,http://www.clarion.edu/,United States,clarion.edu,Pennsylvania
Allen College,https://www.allencollege.edu/,United States,allencollege.edu,Iowa
East Stroudsburg State University of Pennsylvania,http://www.esu.edu/,United States,esu.edu,Pennsylvania
Edinboro University of Pennsylvania,http://www.edinboro.edu/,United States,edinboro.edu,Pennsylvania
Emory & Henry College,https://www.ehc.edu/,United States,ehc.edu,VA
East Texas Baptist University,https://www.etbu.edu/,United States,etbu.edu,TX
Haverford College in Pennsylvania,http://www.haverford.edu/,United States,haverford.edu,Pennsylvania
Indiana University - Bloomington,https://bloomington.iu.edu/,United States,indiana.edu,Indiana
Indiana University of Pennsylvania,http://www.iup.edu/,United States,iup.edu,Pennsylvania
Kansas State University,https://www.k-state.edu/,United States,ksu.edu,Kansas
Kutztown University of Pennsylvania,http://www.kutztown.edu/,United States,kutztown.edu,Pennsylvania
Mansfield University of Pennsylvania,http://www.mansfield.edu/,United States,mansfield.edu,Pennsylvania
Mercyhurst University,https://mercyhurst.edu/,United States,mercyhurst.edu,Pennsylvania
Denver College of Nursing,https://www.denvercollegeofnursing.edu/,United States,denvercollegeofnursing.edu,Colorado
Millersville University of Pennsylvania,http://www.millersville.edu/,United States,millersville.edu,Pennsylvania
Ohio State University - Columbus,https://www.osu.edu/,United States,osu.edu,Ohio
Pennsylvania College of Technology,http://www.pct.edu/,United States,pct.edu,Pennsylvania
Pennsylvania State University,http://www.psu.edu/,United States,psu.edu,Pennsylvania
Pennsylvania State University - Schuylkill Campus,http://www.sl.psu.edu/,United States,sl.psu.edu,Pennsylvania
Purdue University Fort Wayne,https://www.pdfw.edu/,United States,pfw.edu,IN
Pittsburg State University,http://www.pittstate.edu/,United States,pittstate.edu,Pennsylvania
St. Francis College,https://www.sfc.edu/,United States,sfc.edu,New York
Shippensburg University of Pennsylvania,http://www.ship.edu/,United States,ship.edu,Pennsylvania
Slippery Rock University of Pennsylvania,http://www.sru.edu/,United States,sru.edu,Pennsylvania
"University of California, Office of the President",https://www.ucop.edu/,United States,ucop.edu,CA
UC Hastings College of the Law,http://www.uchastings.edu/,United States,uchastings.edu,CA
"University of Illinois, Urbana-Champaign",https://illinois.edu/,United States,uiuc.edu,Illinois
University of New Hampshire,https://www.unh.edu/,United States,unh.edu,New Hampshire
The University of North Carolina at Greensboro,https://www.uncg.edu/,United States,uncg.edu,North Carolina
University of Pennsylvania,http://www.upenn.edu/,United States,upenn.edu,Pennsylvania
University of Pittsburgh,http://www.pitt.edu/,United States,pitt.edu,Pennsylvania
University of Pittsburgh at Johnstown,http://www.upj.pitt.edu/,United States,upj.pitt.edu,Pennsylvania
University of Pittsburgh at Bradford,https://www.upb.pitt.edu/,United States,upb.pitt.edu,Pennsylvania
Anderson University,https://andersonuniversity.edu/,United States,andersonuniversity.edu,South Carolina
The University of Texas at Austin,https://www.utexas.edu/,United States,utexas.edu,Texas
The University of Texas at San Antonio,https://www.utsa.edu/,United States,utsa.edu,Texas
Virginia Tech,https://www.vt.edu/,United States,vt.edu,Virginia
Walla Walla University,http://www.wallawalla.edu/,United States,wallawalla.edu,Washington
West Chester University of Pennsylvania,http://www.wcupa.edu/,United States,wcupa.edu,Pennsylvania
Westminster College of New Wilmington,http://www.westminster.edu/,United States,westminster.edu,Pennsylvania
Westminster College of Fulton,http://www.westminster-mo.edu/,United States,westminster-mo.edu,Missouri
York College of Pennsylvania,http://www.ycp.edu/,United States,ycp.edu,Pennsylvania
Houston Baptist University,https://www.hbu.edu/,United States,hbu.edu,TX
San Bernardino Valley College,http://www.valleycollege.edu,United States,valleycollege.edu,California
San Diego City College,http://www.sdcity.edu/,United States,sdcity.edu,California
San Diego Mesa College,http://www.sdmesa.edu/,United States,sdmesa.edu,California
San Diego Miramar College,http://www.sdmiramar.edu/,United States,sdmiramar.edu,California
CUNY Baruch College,https://www.baruch.cuny.edu/,United States,baruch.cuny.edu,NY
CUNY Queens College,https://www.qc.cuny.edu/,United States,qc.cuny.edu,NY
CUNY City Tech,https://www.citytech.cuny.edu/,United States,citytech.cuny.edu,NY
CUNY City College of NY,https://www.ccny.cuny.edu/,United States,ccny.cuny.edu,NY
CUNY Brooklyn College,http://www.brooklyn.cuny.edu/,United States,brooklyn.cuny.edu,NY
CUNY Medgar Evers College,https://www.mec.cuny.edu/,United States,mec.cuny.edu,NY
CUNY College of Staten Island,https://www.csi.cuny.edu/,United States,csi.cuny.edu,NY
CUNY Macauly Honors College,https://macaulay.cuny.edu/,United States,macauly.cuny.edu,NY
Pennsylvania Highlands Community College,http://www.pennhighlands.edu,United States,pennhighlands.edu,Pennsylvania
Pennsylvania Institute of Technology,http://www.pit.edu,United States,pit.edu,Pennsylvania
Pittsburgh Technical Institute,http://www.pti.edu,United States,pti.edu,Pennsylvania
University of Pittsburgh-Titusville,http://www.upt.pitt.edu,United States,upt.pitt.edu,Pennsylvania
Schreiner University,https://schreiner.edu/,United States,schreiner.edu,Texas
Trinity Bible College & Graduate School,https://trinitybiblecollege.edu,United States,trinitybiblecollege.edu,ND
University of Michigan-Flint,http://www.umflint.edu,United States,umflint.edu,MI
Defiance College,http://www.defiance.edu/,United States,defiance.edu,Ohio
Gulf Coast State College,https://www.gulfcoast.edu/,United States,gulfcoast.edu,Florida
Academy of Art University,https://www.academyart.edu/,United States,academyart.edu,California
Lenoir-Rhyne University,https://www.lr.edu/,United States,lr.edu,North Carolina
Point Park University,https://pointpark.edu/,United States,pointpark.edu,Pennsylvania
Northwood University,https://northwood.edu/,United States,northwood.edu,Michigan
Clark Atlanta University,https://www.cau.edu/,United States,cau.edu,GA
Morehouse,https://morehouse.edu/,United States,morehouse.edu,GA
Gwynedd Mercy University,https://www.gmercyu.edu/,United States,gmercyu.edu,Pennsylvania
Bellevue College,https://bellevuecollege.edu,United States,bellevuecollege.edu,Washington
CUNY Lehman College,https://www.lehman.cuny.edu/,United States,lehman.cuny.edu,"New York, NY"
CUNY John Jay College of Criminal Justice,https://www.jjay.cuny.edu/,United States,jjay.cuny.edu,"New York, NY"
Hunter College CUNY,https://hunter.cuny.edu/,United States,hunter.cuny.edu,"New York, NY"
CUNY York College,https://www.york.cuny.edu/,United States,york.cuny.edu,"New York, NY"
Unity Environmental College,https://unity.edu/,United States,unity.edu,Maine
Island Drafting & Technical Institute,https://www.idti.edu/,United States,idti.edu,NY
Bay Path University,https://www.baypath.edu/,United States,baypath.edu,MA
State University of New York at Oneonta,https://suny.oneonta.edu,United States,suny.oneonta.edu,New York
Northwestern Michigan College,https://www.nmc.edu,United States,nmc.edu,Michigan
Abraham Baldwin Agricultural College,https://www.abac.edu/,United States,abac.edu,Georgia
Capital University,https://www.capital.edu/,United States,capital.edu,Ohio
State University of New York College at Oneonta,https://suny.oneonta.edu/,United States,oneonta.edu,New York
University of Mount Olive,https://umo.edu/,United States,umo.edu,North Carolina
The University of Olivet,https://www.uolivet.edu/,United States,olivetcollege.edu,Michigan
Westminster University,https://westminsteru.edu/,United States,westminsteru.edu,"Salt Lake City, Utah"
Dominican University,https://www.dom.edu/,United States,dom.edu,Illinois
